Index     Time (s)        Voltage (V)
-------------------------------------
0         1.00e-06        4.995e-03
1         2.00e-06        9.985e-03
2         4.00e-06        1.996e-02
3         8.00e-06        3.984e-02
4         1.60e-05        7.936e-02
5         3.20e-05        1.575e-01
6         6.40e-05        3.100e-01
7         1.00e-04        4.758e-01
8         1.06e-04        5.046e-01
9         1.19e-04        5.618e-01
10        1.45e-04        6.740e-01
11        1.96e-04        8.899e-01
12        2.96e-04        1.281e+00
13        3.96e-04        1.636e+00
14        4.96e-04        1.956e+00
15        5.96e-04        2.246e+00
16        6.96e-04        2.508e+00
17        7.96e-04        2.745e+00
18        8.96e-04        2.960e+00
19        9.96e-04        3.154e+00
20        1.10e-03        3.330e+00
21        1.20e-03        3.489e+00
22        1.30e-03        3.633e+00
23        1.40e-03        3.763e+00
24        1.50e-03        3.881e+00
25        1.60e-03        3.988e+00
26        1.70e-03        4.084e+00
27        1.80e-03        4.171e+00
28        1.90e-03        4.250e+00
29        2.00e-03        4.322e+00
30        2.10e-03        4.386e+00
31        2.20e-03        4.445e+00
32        2.30e-03        4.498e+00
33        2.40e-03        4.545e+00
34        2.50e-03        4.589e+00
35        2.60e-03        4.628e+00
36        2.70e-03        4.663e+00
37        2.80e-03        4.695e+00
38        2.90e-03        4.724e+00
39        3.00e-03        4.751e+00
40        3.10e-03        4.774e+00
41        3.20e-03        4.796e+00
42        3.30e-03        4.815e+00
43        3.40e-03        4.833e+00
44        3.50e-03        4.849e+00
45        3.60e-03        4.863e+00
46        3.70e-03        4.876e+00
47        3.80e-03        4.888e+00
48        3.90e-03        4.899e+00
49        4.00e-03        4.908e+00
50        4.10e-03        4.917e+00
51        4.20e-03        4.925e+00
52        4.30e-03        4.932e+00
53        4.40e-03        4.939e+00
54        4.50e-03        4.944e+00

Index     Time (s)        Voltage (V)
-------------------------------------
55        4.596e-03       4.9497e+00
56        4.696e-03       4.9545e+00
57        4.796e-03       4.9588e+00
58        4.896e-03       4.9627e+00
59        4.996e-03       4.9663e+00
60        5.096e-03       4.9695e+00
61        5.196e-03       4.9724e+00
62        5.296e-03       4.9750e+00
63        5.396e-03       4.9774e+00
64        5.496e-03       4.9796e+00
65        5.596e-03       4.9815e+00
66        5.696e-03       4.9833e+00
67        5.796e-03       4.9849e+00
68        5.896e-03       4.9863e+00
69        5.996e-03       4.9876e+00
70        6.096e-03       4.9888e+00
71        6.196e-03       4.9899e+00
72        6.296e-03       4.9908e+00
73        6.396e-03       4.9917e+00
74        6.496e-03       4.9925e+00
75        6.596e-03       4.9932e+00
76        6.696e-03       4.9939e+00
77        6.796e-03       4.9944e+00
78        6.896e-03       4.9950e+00
79        6.996e-03       4.9954e+00
80        7.096e-03       4.9959e+00
81        7.196e-03       4.9963e+00
82        7.296e-03       4.9966e+00
83        7.396e-03       4.9970e+00
84        7.496e-03       4.9972e+00
85        7.596e-03       4.9975e+00
86        7.696e-03       4.9977e+00
87        7.796e-03       4.9979e+00
88        7.896e-03       4.9982e+00
89        7.996e-03       4.9983e+00
90        8.096e-03       4.9985e+00
91        8.196e-03       4.9986e+00
92        8.296e-03       4.9988e+00
93        8.396e-03       4.9989e+00
94        8.496e-03       4.9990e+00
95        8.596e-03       4.9991e+00
96        8.696e-03       4.9992e+00
97        8.796e-03       4.9992e+00
98        8.896e-03       4.9993e+00
99        8.996e-03       4.9994e+00
100       9.096e-03       4.9994e+00
101       9.196e-03       4.9995e+00
102       9.296e-03       4.9995e+00
103       9.396e-03       4.9996e+00
104       9.496e-03       4.9996e+00
105       9.596e-03       4.9997e+00
106       9.696e-03       4.9997e+00
107       9.796e-03       4.9997e+00
108       9.896e-03       4.9998e+00
109       9.996e-03       4.999774e+00
110       1.000e-02       4.999775e+00
